Feature|Count|Miss%|Card|Mode|Mode Count|Mode %|2nd Mode|2nd Mode Count|2nd Mode %|
symboling|205|0.0|6|0|67|32.6829268292683|1|54|26.34146341463415|
make|205|0.0|28|0|67|32.6829268292683|1|54|26.34146341463415|
fuel-type|205|0.0|30|gas|185|90.2439024390244|1|54|26.34146341463415|
aspiration|205|0.0|32|gas|185|90.2439024390244|std|168|81.95121951219512|
num-of-doors|203|0.975609756097561|34|gas|185|91.13300492610837|std|168|82.75862068965517|
body-style|205|0.0|39|gas|185|90.2439024390244|std|168|81.95121951219512|
drive-wheels|205|0.0|42|gas|185|90.2439024390244|std|168|81.95121951219512|
engine-location|205|0.0|44|front|202|98.53658536585365|std|168|81.95121951219512|
engine-type|205|0.0|51|front|202|98.53658536585365|std|168|81.95121951219512|
num-of-cylinders|205|0.0|56|four|273|133.1707317073171|std|168|81.95121951219512|
engine-size|205|0.0|100|four|273|133.1707317073171|std|168|81.95121951219512|
fuel-system|205|0.0|108|four|273|133.1707317073171|std|168|81.95121951219512|

Feature|Count|Miss%|Card|Min|1st Quart|Mean|Median|3rd Quart|Max|Std Dev|
normalized-losses|164|20.0|159|65.0|101.0|122.0|128.0|186.0|256.0|127.01373077300757|
wheel-base|205|0.0|207|65.0|93.1|98.75658536585378|94.5|97.0|256.0|98.93911283602903|
length|205|0.0|280|65.0|93.1|174.04926829268305|94.5|97.0|256.0|174.48385025554677|
width|205|0.0|323|60.3|64.1|65.90780487804875|65.4|66.5|256.0|65.94253706919342|
height|205|0.0|372|47.8|52.0|53.724878048780525|54.1|55.5|256.0|53.78014684920406|
curb-weight|205|0.0|543|47.8|52.0|2555.5658536585365|54.1|55.5|4066.0|2607.8156049207723|
bore|201|1.951219512195122|581|2.54|3.15|3.3297512437810957|3.31|3.6|4066.0|3.3409122298203497|
stroke|201|1.951219512195122|604|2.07|3.01|3.2554228855721337|3.13|3.19|4066.0|3.2707169022595606|
compression-ratio|205|0.0|636|2.07|3.01|10.142536585365855|3.13|3.19|4066.0|10.889039958578179|
horsepower|203|0.975609756097561|671|2.07|3.01|104.25615763546799|3.13|3.19|4066.0|111.52940366456461|
peak-rpm|203|0.975609756097561|694|2.07|3.01|5125.369458128079|3.13|3.19|6600.0|5147.62487676804|
city-mpg|205|0.0|720|2.07|3.01|25.21951219512195|3.13|3.19|6600.0|26.05023290004029|
highway-mpg|205|0.0|727|2.07|3.01|30.75121951219512|3.13|3.19|6600.0|31.50919339324133|
price|201|1.951219512195122|913|2.07|3.01|13207.129353233831|3.13|3.19|45400.0|15403.56844761622|
