Feature|Count|Miss%|Card|Mode|Mode Count|Mode %|2nd Mode|2nd Mode Count|2nd Mode %|
symboling|205|0.0|6|0|67|32.68|1|54|26.34|
make|205|0.0|22|toyota|32|15.61|nissan|18|8.78|
fuel-type|205|0.0|2|gas|185|90.24|diesel|20|9.76|
aspiration|205|0.0|2|std|168|81.95|turbo|37|18.05|
num-of-doors|203|0.98|2|four|114|56.16|two|89|43.84|
body-style|205|0.0|5|sedan|96|46.83|hatchback|70|34.15|
drive-wheels|205|0.0|3|fwd|120|58.54|rwd|76|37.07|
engine-location|205|0.0|2|front|202|98.54|rear|3|1.46|
engine-type|205|0.0|7|ohc|148|72.2|ohcf|15|7.32|
num-of-cylinders|205|0.0|7|four|159|77.56|six|24|11.71|
engine-size|205|0.0|44|No mode|0|0.0|0|0|0.0|
fuel-system|205|0.0|8|mpfi|94|45.85|2bbl|66|32.2|

Feature|Count|Miss%|Card|Min|1st Quart|Mean|Median|3rd Quart|Max|Std Dev|
normalized-losses|164|20.0|51|65.0|101.0|122.0|128.0|186.0|256.0|127.01|
wheel-base|205|0.0|53|86.6|94.5|98.76|97.0|102.4|120.9|98.94|
length|205|0.0|75|141.1|166.3|174.05|173.2|183.1|208.1|174.48|
width|205|0.0|44|60.3|64.1|65.91|65.5|66.9|72.3|65.94|
height|205|0.0|49|47.8|52.0|53.72|54.1|55.5|59.8|53.78|
curb-weight|205|0.0|171|1488.0|2145.0|2555.57|2414.0|2935.0|4066.0|2607.82|
bore|201|1.95|38|2.54|3.15|3.33|3.31|3.6|3.94|3.34|
stroke|201|1.95|36|2.07|3.11|3.26|3.29|3.41|4.17|3.27|
compression-ratio|205|0.0|32|7.0|8.6|10.14|9.0|9.4|23.0|10.89|
horsepower|203|0.98|59|48.0|70.0|104.26|95.0|120.0|288.0|111.53|
peak-rpm|203|0.98|23|4150.0|4800.0|5125.37|5200.0|5500.0|6600.0|5147.62|
city-mpg|205|0.0|29|13.0|19.0|25.22|24.0|30.0|49.0|26.05|
highway-mpg|205|0.0|30|16.0|25.0|30.75|30.0|34.0|54.0|31.51|
price|201|1.95|186|5118.0|7788.0|13207.13|10595.0|16558.0|45400.0|15403.57|
